"IUH","G","SRGC",2,"IS28B2","0"
"IUM","G","WIMSC",2,"Twin Astir II","0"
"IUX","G","CGC",2,"Janus","0"
"IZB","G","BGC",1,"Nimbus 2","0"
"IZI","G","BGC",2,"Janus B","0"
"IZZ","G","VMFG",1,"EP2 Super Goose","0"
"KKR","T","GGC",2,"Piper Super Cub","550"
"KLG","T","WIMSC",1,"Pawnee","0"
"KYP","G","BEN",1,"Astir CS77","0"
"LLK","G","VMFG",1,"ASW-28E","0"
"MPO","T","AGM",1,"Callair","550"
"MSA","T","GGC",2,"Super Cub","430"
"NDG","G","VMFG",2,"DG1001","0"
"NQU","M","AAFC",2,"ASK-21 Mi","0"
"OHT","T","BGC",2,"Hornet","0"
"OWL","G","GGC",2,"Puchacz","67"
"PIK","M","GGC",1,"PIK-20E","0"
"RBG","G","BGC",2,"Grob II 103","0"
"ROZ","T","SRGC",1,"Cessna 150","0"
"SSO","T","GGC",1,"Pawnee","590"
"TNC","T","VMFG",1,"Pawnee","650"
"UIW","G","BGC",1,"Mini Nimbus C","0"
"UKA","G","GGC",1,"LS4","67"
"UKF","G","BEN",1,"ASW19B","0"
"UKX","G","BEN",1,"PIK20B","0"
"VCS","G","VMFG",1,"Discus CS","0"
"VIT","G","VMFG",1,"ASW-27-18E","0"
"VMF","G","VMFG",2,"DG505","0"
"VPB","G","VMFG",1,"LS8","0"
"VTI","G","SHGC",1,"Boomerang","0"
"VTM","G","VMFG",1,"Ventus C","0"
"VTP","G","VMFG",1,"Ventus B","0"
"VWR","G","VMFG",2,"DG1000","0"
"WBG","W","BEN",1,"Winch Bendigo","0"
"WGG","W","GGC",2,"Winch Geelong","1000"
"WMB","W","MTBGC",1,"Winch Mt Beauty","2200"
"WQB","G","RICHMD",1,"PIK 20D","0"
"WQF","G","GGC",1,"PIK 20D","0"
"WQR","G","BEN",1,"DG101G","0"
"WSH","W","SHGC",2,"Winch Swan Hill","0"
"WVN","G","BGC",1,"Single Astir","0"
"WVR","G","GRAMP",2,"IS28","0"
"WVU","G","MTBGC",2,"IS28","0"
"XFF","G","BGC",1,"Ka6","0"
"XJI","G","GRAMP",2,"Puchacz","0"
"XOA","G","VMFG",1,"SZD Junior","0"
"XOC","G","GGC",1,"SZD Junior","52"
"XON","M","BGC",2,"DG-500M","0"
"XQB","G","GRAMP",2,"Puchacz","0"
"YPW","G","GGC",2,"PW-6U","67"
"ZAE","G","VMFG",1,"ASW24","0"
"ZAV","M","SPAV",2,"Janus","0"
"ZAW","G","BKGC",1,"PW-5","0"
"ZRD","G","VMFG",2,"Duo Discus T","0"
